"Rk","Squad","Matches.played","Wins","Draws","Loses","Goals.for","Goals.against","Goal.difference","Points","Points.per.match","Expected.goals","Expected.goals.allowed","Expected.goals.difference","Expected.goals.difference.per.90.minutes","Attendance","Season"
1,"Manchester City","38","32","5","2","106","27","+79","100","2.63","78.6","23.8","+54.8","+1.44","54,070","2022/2023"
2,"Manchester Utd","38","25","6","7","68","28","+40","81","2.13","55.7","40.7","+15.0","+0.40","74,976","2022/2023"
3,"Tottenham","38","23","6","7","74","36","+38","77","2.03","64.7","33.9","+30.8","+0.81","67,953","2022/2023"
4,"Liverpool","38","21","14","5","84","38","+46","75","1.97","72.9","33.8","+39.1","+1.03","53,049","2022/2023"
5,"Chelsea","38","21","10","10","62","38","+24","70","1.84","54.4","33.8","+20.6","+0.54","41,282","2022/2023"
6,"Arsenal","38","19","8","13","74","51","+23","63","1.66","68.3","47.8","+20.5","+0.54","59,323","2022/2023"
7,"Burnley","38","14","7","12","36","39","-3","54","1.42","32.3","51.2","-18.9","-0.50","20,688","2022/2023"
8,"Everton","38","13","6","15","44","58","-14","49","1.29","40.5","52.4","-11.9","-0.31","38,797","2022/2023"
9,"Leicester City","38","12","14","15","56","60","-4","47","1.24","50.0","48.1","+1.9","+0.05","31,583","2022/2023"
10,"Newcastle Utd","38","12","7","18","39","47","-8","44","1.16","41.6","52.4","-10.8","-0.28","51,992","2022/2023"
11,"Crystal Palace","38","11","12","16","45","55","-10","44","1.16","53.5","48.2","+5.2","+0.14","25,063","2022/2023"
12,"Bournemouth","38","11","11","16","45","61","-16","44","1.16","38.8","59.2","-20.4","-0.54","10,641","2022/2023"
13,"West Ham","38","10","8","16","48","68","-20","42","1.11","36.7","55.1","-18.4","-0.48","56,885","2022/2023"
14,"Watford","38","11","7","19","44","64","-20","41","1.08","45.0","51.8","-6.8","-0.18","20,231","2022/2023"
15,"Brighton","38","9","6","16","34","54","-20","40","1.05","37.0","50.8","-13.8","-0.36","30,403","2022/2023"
16,"Huddersfield","38","9","11","19","28","58","-30","37","0.97","31.3","48.5","-17.2","-0.45","24,040","2022/2023"
17,"Southampton","38","7","12","16","37","56","-19","36","0.95","39.9","45.2","-5.3","-0.14","30,794","2022/2023"
18,"Swansea City","38","8","7","21","28","56","-28","33","0.87","31.6","58.6","-27.0","-0.71","20,623","2022/2023"
19,"Stoke City","38","7","10","19","35","68","-33","33","0.87","36.5","62.5","-26.0","-0.69","29,280","2022/2023"
20,"West Brom","38","6","7","19","31","56","-25","31","0.82","36.5","47.9","-11.4","-0.30","24,520","2022/2023"
1,"Manchester City","38","32","5","4","95","23","+72","98","2.58","84.3","24.7","+59.6","+1.57","54,130","2021/2022"
2,"Liverpool","38","30","6","1","89","22","+67","97","2.55","73.7","28.8","+44.9","+1.18","52,983","2021/2022"
3,"Chelsea","38","21","6","8","63","39","+24","72","1.89","58.6","36.4","+22.2","+0.58","40,437","2021/2022"
4,"Tottenham","38","23","14","13","67","39","+28","71","1.87","54.9","47.1","+7.8","+0.20","54,216","2021/2022"
5,"Arsenal","38","21","10","10","73","51","+22","70","1.84","60.1","54.2","+5.9","+0.15","59,899","2021/2022"
6,"Manchester Utd","38","19","8","10","65","54","+11","66","1.74","61.4","50.6","+10.8","+0.29","74,498","2021/2022"
7,"Wolves","38","16","7","13","47","46","+1","57","1.50","52.1","42.1","+10.1","+0.26","31,030","2021/2022"
8,"Everton","38","15","6","14","54","46","+8","54","1.42","49.7","45.7","+4.0","+0.10","39,043","2021/2022"
9,"Leicester City","38","15","14","16","51","48","+3","52","1.37","52.4","43.7","+8.7","+0.23","31,851","2021/2022"
