"Season","Squad","Rk","Matches.played","Wins","Draws","Loses","Goals.for","Goals.against","Goal.difference","Points","Points.per.match","Expected.goals","Expected.goals.allowed","Expected.goals.difference","Expected.goals.difference.per.90.minutes","Attendance","Assists","Passes.completed","Passes.attempted","Short.passes.completed","Short.passes.attempted","Medium.passes.completed","Medium.passes.attempted","Long.passes.completed","Long.passes.attempted","Progressive.passes","Live.ball.passes","Dead.ball.passes","Passes.from.free.kicks","Through.balls","Switches","Crosses","Throw.in.taken","Corner.kicks","Corner.kicks.in","Corner.kicks.out","Corner.kicks.straight","Passes.offside","Passes.blocked","Passes.into.penalty.area","Shoots.total","Shoots.on.target","Average.shot.distance","Free.kick.shots","Shot.creating.actions","SCA.Live.ball.pass","SCA.Dead.ball.pass","SCA.Take.on","SCA.Shot","SCA.Fouls.drawn","SCA.Deffensive.action","Goal.creatiing.actions","GCA.Live.ball.pass","GCA.Dead.ball.pass","GCA.Take.on","GCA.Shot","GCA.Fouls.drawn","GCA.Deffensive.action","Penalty.kicks.attempted","Penalty.kicks.made","Tackles","Tackles.won","Tackles.def.3rd","Tackles.mid.3rd","Tackles.att.3rd","Dribblers.tackled","Dribblers.challenged","Challenges.lost","Blocks","Shots.blocked","Blocked.passes","Interceptions","Clearances","Errors","Ball.recoveries","Fouls.commited","Yellow.cards","Second.yellow.card","Red.cards","Own.goals","Cleansheets","Possession","Touches","Touches.def.pen","Touches.def.3rd","Touches.mid.3rd","Touches.att.3rd","Touches.att.pen","Takes.on.attempted","Takes.on.succesful","Times.tackled.during.take.on","Carries","Total.carrying.distance","Progressive.carrying.distance","Progressive.carries","Carries.into.final.third","Carreis.into.penalty.area","Miscontrols","Dispossessed","Fouls.drawn","Passes.recived","Progressive.passes.recived","Aerials.won","Aerial.lost","Age","Substitute.apperances","Matchehs.as.unused.sub"
"2022/2023","Manchester City",1,"38","28","5","5","94","33","+61","89","2.34","78.6","32.1","+46.5","+1.22","53249","69","23263","26642","11020","11888","9848","10836","1932","2849","2073","25047","1544","440","94","177","742","614","238","72","87","11","51","350","445","590","205","16.6","20","1099","826","81","53","76","49","14","168","130","7","8","9","12","2","10","9","471","272","185","198","88","212","462","250","339","95","244","223","694","402","1866","347","44","0","1","1","13","64.7","29895","2170","7410","14372","8301","1277","704","336","239","19122","104099","56216","988","754","279","406","298","384","22992","2054","438","364","27.2","123","219"
"2022/2023","Arsenal",2,"38","26","6","6","88","43","+45","84","2.21","71.9","42.0","+29.9","+0.79","60191","64","18281","21969","8542","9478","7825","8821","1454","2548","2049","20293","1620","516","86","97","674","615","223","154","8","3","56","379","459","589","194","16.0","16","1045","776","78","57","73","43","18","150","121","6","5","13","3","2","4","3","568","343","238","212","118","249","509","260","362","86","276","237","805","599","1984","373","51","0","0","1","14","59.3","25909","1994","6632","11452","8015","1296","751","351","290","15924","84012","44202","824","583","281","526","378","435","18101","2024","486","559","24.7","150","192"
"2022/2023","Manchester Utd",3,"38","23","6","9","58","43","+15","75","1.97","67.7","50.4","+17.3","+0.45","73671","42","16603","20525","8273","9294","6359","7306","1438","2651","1595","18827","1619","325","105","165","517","715","196","71","47","4","79","420","398","590","206","17.8","20","1051","840","58","46","63","35","9","99","79","3","8","5","4","0","3","3","658","400","343","231","84","301","598","297","496","146","350","352","1010","771","2190","424","78","0","2","1","17","53.7","24848","2639","8093","10389","6570","1036","730","317","338","14245","70351","37126","711","515","239","497","293","297","16447","1578","465","434","26.9","149","192"
"2022/2023","Newcastle Utd",4,"38","19","14","5","68","33","+35","71","1.87","72.0","39.6","+32.4","+0.85","52127","42","13925","17837","6433","7370","5580","6605","1523","2774","1618","16020","1746","447","88","142","740","728","270","106","90","15","71","370","403","565","184","15.6","15","1008","690","110","62","77","57","12","106","64","6","15","10","6","5","6","6","607","360","268","254","85","307","642","335","448","116","332","333","940","680","2065","406","61","0","1","2","14","52.3","22106","2088","6757","9053","6516","1161","783","349","322","12021","64166","32968","694","493","227","576","363","399","13803","1599","553","427","27.3","155","185"
"2022/2023","Liverpool",5,"38","19","10","9","75","47","+28","67","1.76","72.6","50.9","+21.7","+0.57","53163","58","20043","24361","9023","10114","8561","9758","1962","3283","1992","22466","1811","416","103","198","799","860","235","56","155","1","84","383","452","601","203","16.2","7","1046","778","85","55","75","33","20","129","97","9","7","8","7","1","4","2","590","370","228","250","112","281","648","367","350","74","276","333","923","568","2211","405","57","0","1","2","14","60.8","28399","2310","8119","13329","7149","1252","691","320","282","17146","82458","41527","719","569","234","584","413","321","19921","1974","482","455","27.4","164","178"
"2022/2023","Brighton",6,"38","18","8","12","72","53","+19","62","1.63","73.3","50.2","+23.1","+0.61","31477","46","19210","22888","9346","10305","7892","8919","1463","2462","1849","21109","1709","445","81","130","694","693","233","102","88","2","70","383","391","607","219","16.8","12","1075","819","73","81","63","27","12","115","83","3","13","9","6","1","6","6","616","340","270","242","104","266","561","295","392","104","288","303","919","432","2013","427","58","0","0","6","12","60.2","26728","2471","7844","12213","6873","1102","726","345","279","16331","83718","43965","809","547","250","558","324","407","18991","1828","444","387","26.3","143","199"
"2022/2023","Aston Villa",7,"38","18","7","13","51","46","+5","61","1.61","50.2","52.5","-2.2","-0.06","39485","35","13782","17396","6109","6945","5981","6936","1345","2579","1242","15544","1794","599","54","101","561","684","162","97","19","4","58","325","268","427","145","18.0","18","751","565","50","48","38","40","10","84","55","2","6","12","6","3","4","3","633","338","305","251","77","313","646","333","438","118","320","324","957","714","1847","417","80","0","1","4","12","49.3","21501","2783","7912","9077","4706","746","681","292","279","12294","65583","33156","637","434","174","565","371","498","13587","1227","442","465","27.0","144","193"
"2022/2023","Tottenham",8,"38","18","6","14","70","63","+7","60","1.58","57.1","49.7","+7.4","+0.20","61585","46","15972","19672","7333","8180","6707","7682","1499","2669","1449","17950","1655","404","74","165","719","664","203","113","51","0","67","414","323","512","186","16.7","13","910","692","60","46","55","38","19","116","84","7","7","9","7","2","6","5","619","353","325","215","79","275","574","299","428","148","280","340","959","762","1984","424","77","1","3","1","10","50.0","23836","2734","8571","10329","5135","842","666","306","288","13679","71290","36842","692","465","189","521","356","353","15864","1436","549","474","27.6","140","202"
"2022/2023","Brentford",9,"38","15","14","9","58","46","+12","59","1.55","56.8","49.9","+6.8","+0.18","17078","36","11317","15551","5142","6116","4475","5602","1438","2947","1131","13766","1713","453","53","107","661","738","163","83","34","12","72","303","279","400","147","15.7","14","702","475","99","32","45","44","7","98","65","8","4","8","11","2","8","7","587","337","270","228","89","253","599","346","456","168","288","341","928","822","1959","354","57","1","1","3","12","43.8","19750","2632","7290","7802","4835","827","597","264","248","10408","49009","23987","392","299","102","520","335","399","11203","1121","665","618","26.2","171","171"
"2022/2023","Fulham",10,"38","15","7","16","55","53","+2","52","1.37","46.2","63.8","-17.6","-0.46","23746","33","13974","18014","5867","6818","6222","7333","1551","2860","1326","16136","1818","471","20","157","769","795","182","70","69","2","60","393","284","420","137","17.3","17","751","528","78","29","54","47","15","90","56","9","5","11","7","2","9","5","625","350","295","229","101","299","585","286","455","125","330","340","965","749","1979","411","80","0","1","2","9","48.8","22162","2563","7462","9521","5416","758","599","272","239","12250","68158","35319","662","472","124","535","379","405","13847","1316","511","550","28.2","152","190"
"2022/2023","Crystal Palace",11,"38","11","12","15","40","49","-9","45","1.18","39.3","48.1","-8.8","-0.23","24952","29","13395","17308","6005","6901","5794","6772","1309","2751","1243","15416","1834","525","41","118","591","763","186","84","60","5","58","350","239","423","133","17.6","23","746","497","67","56","49","59","18","67","43","6","6","6","4","2","3","1","690","421","354","246","90","281","532","251","463","119","344","359","1049","807","2093","446","82","2","3","3","9","46.3","21713","2580","7668","9275","4991","766","784","367","314","11687","60301","30015","556","393","206","643","457","479","13304","1238","496","578","26.7","138","204"
"2022/2023","Chelsea",12,"38","11","11","16","38","47","-9","44","1.16","49.5","52.5","-3.0","-0.08","40002","27","19147","22836","9510","10494","7700","8709","1461","2499","1737","20995","1767","503","58","129","693","722","209","108","70","2","74","371","370","481","151","16.8","10","859","667","66","42","42","31","11","68","57","3","2","2","4","0","3","3","740","445","363","267","110","333","656","323","466","108","358","341","1081","661","2024","397","81","2","3","3","10","58.7","27166","2564","8461","12057","6850","958","838","380","352","16538","83509","43596","829","622","216","568","381","462","19065","1729","493","453","26.3","173","169"
"2022/2023","Wolves",13,"38","11","8","19","31","58","-27","41","1.08","36.8","59.9","-23.1","-0.61","31482","12","14554","18294","6350","7195","6306","7257","1574","2890","1343","16575","1657","430","49","149","661","663","185","61","86","2","62","355","252","409","119","18.0","18","713","521","62","30","47","42","11","44","32","1","3","6","1","1","3","3","661","370","364","222","75","286","609","323","497","175","322","279","940","817","2052","463","85","1","6","1","11","49.9","22539","2921","8544","9262","4960","686","772","375","302","12373","67215","35065","610","421","142","516","327","389","14452","1331","465","542","26.7","165","175"
"2022/2023","West Ham",14,"38","11","7","20","42","55","-13","40","1.05","49.2","53.0","-3.9","-0.10","62462","25","12369","16357","5883","6778","4784","5831","1383","2753","1274","14625","1670","347","41","162","768","722","206","129","57","1","62","390","212","466","133","17.3","13","817","586","81","40","60","35","15","67","41","6","6","8","6","0","8","6","608","336","290","226","92","270","562","292","415","139","276","408","1016","810","2023","362","44","0","0","1","9","42.1","20410","2362","6898","8703","4993","756","614","249","266","10540","57451","28247","615","413","166","458","357","316","12256","1266","620","587","28.2","132","204"
"2022/2023","Bournemouth",15,"38","11","6","21","37","71","-34","39","1.03","38.6","63.9","-25.3","-0.67","10362","24","11715","15381","5412","6278","4751","5644","1192","2491","1006","13607","1736","424","48","87","509","706","144","88","25","9","38","342","237","358","126","15.5","14","616","445","45","52","43","24","7","64","44","5","4","8","2","1","0","0","618","371","316","249","53","256","606","350","499","170","329","353","971","1027","1942","391","68","0","0","3","8","40.4","19950","2934","8004","7933","4256","699","735","321","344","10336","55322","27419","504","388","144","589","367","365","11617","986","521","539","26.3","141","201"
"2022/2023","Nott'ham Forest",16,"38","9","11","18","38","68","-30","38","1.00","39.3","64.2","-24.9","-0.66","29188","22","9543","13606","4046","4952","4071","5126","1187","2708","859","11801","1738","446","31","66","530","720","128","65","53","1","67","313","172","362","111","17.2","9","593","416","59","31","38","36","13","54","31","5","4","11","3","0","6","3","659","387","380","201","78","296","584","288","500","156","344","349","1008","944","1902","445","84","0","0","0","8","37.6","17912","2715","7420","6953","3755","611","569","254","235","8674","46411","24008","435","308","111","537","275","390","9452","847","560","600","26.5","159","183"
"2022/2023","Everton",17,"38","8","12","18","34","57","-23","36","0.95","45.2","65.7","-20.5","-0.54","39243","24","11790","15783","5336","6174","4771","5750","1366","2947","1052","13984","1735","434","39","93","704","707","174","138","28","0","64","311","224","426","143","16.8","12","735","495","84","37","54","45","20","59","41","5","5","2","4","2","3","3","708","424","362","257","89","309","611","302","510","180","330","390","1098","874","2049","396","81","1","2","0","9","42.8","20233","2527","7219","8417","4830","742","669","305","296","10479","56737","27858","500","391","137","605","300","382","11708","1042","582","613","26.6","116","225"
